Size;Insert;Merge;Quick
100;42043;31377;5229
200;148902;53716;10405
300;322179;86211;15806
400;552730;107298;21795
500;862225;139248;27496
600;1256955;169564;34565
700;1676537;199322;42371
800;2325456;242269;52561
900;2759596;255708;55126
1000;3413200;283888;60284
