Size;Insert;Merge;Quick
100;863;33321;5329
200;1736;72723;12603
300;2651;111977;18845
400;3179;142026;25776
500;4392;197601;34995
600;5181;233112;42320
700;5903;285315;52984
800;6719;319026;61814
900;7605;374228;71527
1000;8635;409073;76860
